"SamplePeriod","TriggerSample","CompressedData"
"0.00000002","4112","True"
"SampleNumber","DSP_I2C0","DSP_I2C1","Clock2","Clock1","ADCout","Data0","Data1","Data2","Data3","Data4","Data5","Data6","Data7","Data8","Data9","Data10","Data11","Data12","Data13"
"1928","","","1","0","1575h","1","0","1","0","1","1","1","0","1","0","1","0","1","0"
"1936","","","1","0","15EFh","1","1","1","1","0","1","1","1","1","0","1","0","1","0"
"1944","","","1","0","1662h","0","1","0","0","0","1","1","0","0","1","1","0","1","0"
"1952","","","1","0","16D8h","0","0","0","1","1","0","1","1","0","1","1","0","1","0"
"1960","","","1","0","1750h","0","0","0","0","1","0","1","0","1","1","1","0","1","0"
"1968","","","1","0","17C4h","0","0","1","0","0","0","1","1","1","1","1","0","1","0"
"1976","","","1","0","183Fh","1","1","1","1","1","1","0","0","0","0","0","1","1","0"
"1984","","","1","0","18AFh","1","1","1","1","0","1","0","1","0","0","0","1","1","0"
"1992","","","1","0","1924h","0","0","1","0","0","1","0","0","1","0","0","1","1","0"
"2000","","","1","0","199Eh","0","1","1","1","1","0","0","1","1","0","0","1","1","0"
"2008","","","1","0","1A14h","0","0","1","0","1","0","0","0","0","1","0","1","1","0"
"2016","","","1","0","1A89h","1","0","0","1","0","0","0","1","0","1","0","1","1","0"
"2024","","","1","0","1AFFh","1","1","1","1","1","1","1","1","0","1","0","1","1","0"
"2032","","","1","0","1B74h","0","0","1","0","1","1","1","0","1","1","0","1","1","0"
"2040","","","1","0","1BEBh","1","1","0","1","0","1","1","1","1","1","0","1","1","0"
"2048","","","1","0","1C62h","0","1","0","0","0","1","1","0","0","0","1","1","1","0"
"2056","","","1","0","1CD5h","1","0","1","0","1","0","1","1","0","0","1","1","1","0"
"2064","","","1","0","1D4Eh","0","1","1","1","0","0","1","0","1","0","1","1","1","0"
"2072","","","1","0","1DC6h","0","1","1","0","0","0","1","1","1","0","1","1","1","0"
"2080","","","1","0","1E39h","1","0","0","1","1","1","0","0","0","1","1","1","1","0"
"2088","","","1","0","1EB1h","1","0","0","0","1","1","0","1","0","1","1","1","1","0"
"2096","","","1","0","1F25h","1","0","1","0","0","1","0","0","1","1","1","1","1","0"
"2104","","","1","0","1FA0h","0","0","0","0","0","1","0","1","1","1","1","1","1","0"
"2112","","","1","0","2010h","0","0","0","0","1","0","0","0","0","0","0","0","0","1"
"2120","","","1","0","208Bh","1","1","0","1","0","0","0","1","0","0","0","0","0","1"
"2128","","","1","0","2104h","0","0","1","0","0","0","0","0","1","0","0","0","0","1"
"2136","","","1","0","217Dh","1","0","1","1","1","1","1","0","1","0","0","0","0","1"
"2144","","","1","0","21F1h","1","0","0","0","1","1","1","1","1","0","0","0","0","1"
"2152","","","1","0","2268h","0","0","0","1","0","1","1","0","0","1","0","0","0","1"
"2160","","","1","0","22DCh","0","0","1","1","1","0","1","1","0","1","0","0","0","1"
"2168","","","1","0","2352h","0","1","0","0","1","0","1","0","1","1","0","0","0","1"
"2176","","","1","0","23CAh","0","1","0","1","0","0","1","1","1","1","0","0","0","1"
"2184","","","1","0","2443h","1","1","0","0","0","0","1","0","0","0","1","0","0","1"
"2192","","","1","0","24BBh","1","1","0","1","1","1","0","1","0","0","1","0","0","1"
"2200","","","1","0","2530h","0","0","0","0","1","1","0","0","1","0","1","0","0","1"
"2208","","","1","0","25A3h","1","1","0","0","0","1","0","1","1","0","1","0","0","1"
"2216","","","1","0","261Fh","1","1","1","1","1","0","0","0","0","1","1","0","0","1"
"2224","","","1","0","2695h","1","0","1","0","1","0","0","1","0","1","1","0","0","1"
"2232","","","1","0","270Ah","0","1","0","1","0","0","0","0","1","1","1","0","0","1"
"2240","","","1","0","277Eh","0","1","1","1","1","1","1","0","1","1","1","0","0","1"
"2248","","","1","0","27F5h","1","0","1","0","1","1","1","1","1","1","1","0","0","1"
"2256","","","1","0","2868h","0","0","0","1","0","1","1","0","0","0","0","1","0","1"
"2264","","","1","0","28E0h","0","0","0","0","0","1","1","1","0","0","0","1","0","1"
"2272","","","1","0","2956h","0","1","1","0","1","0","1","0","1","0","0","1","0","1"
