"SamplePeriod","TriggerSample","CompressedData"
"0.00000002","1022","True"
"SampleNumber","DSP_I2C0","DSP_I2C1","Clock2","Clock1","ADCout","Data0","Data1","Data2","Data3","Data4","Data5","Data6","Data7","Data8","Data9","Data10","Data11","Data12","Data13"
"400","","","1","0","0B88h","0","0","0","1","0","0","0","1","1","1","0","1","0","0"
"402","","","1","0","0B6Bh","1","1","0","1","0","1","1","0","1","1","0","1","0","0"
"404","","","1","0","0B52h","0","1","0","0","1","0","1","0","1","1","0","1","0","0"
"406","","","1","0","0B37h","1","1","1","0","1","1","0","0","1","1","0","1","0","0"
"408","","","1","0","0B18h","0","0","0","1","1","0","0","0","1","1","0","1","0","0"
"410","","","1","0","0AF4h","0","0","1","0","1","1","1","1","0","1","0","1","0","0"
"412","","","1","0","0ADBh","1","1","0","1","1","0","1","1","0","1","0","1","0","0"
"414","","","1","0","0AC3h","1","1","0","0","0","0","1","1","0","1","0","1","0","0"
"416","","","1","0","0AA3h","1","1","0","0","0","1","0","1","0","1","0","1","0","0"
"418","","","1","0","0A86h","0","1","1","0","0","0","0","1","0","1","0","1","0","0"
"420","","","1","0","0A68h","0","0","0","1","0","1","1","0","0","1","0","1","0","0"
"422","","","1","0","0A49h","1","0","0","1","0","0","1","0","0","1","0","1","0","0"
"424","","","1","0","0A31h","1","0","0","0","1","1","0","0","0","1","0","1","0","0"
"426","","","1","0","0A10h","0","0","0","0","1","0","0","0","0","1","0","1","0","0"
"428","","","1","0","09F3h","1","1","0","0","1","1","1","1","1","0","0","1","0","0"
"430","","","1","0","09D7h","1","1","1","0","1","0","1","1","1","0","0","1","0","0"
"432","","","1","0","09B9h","1","0","0","1","1","1","0","1","1","0","0","1","0","0"
"434","","","1","0","099Eh","0","1","1","1","1","0","0","1","1","0","0","1","0","0"
"436","","","1","0","0980h","0","0","0","0","0","0","0","1","1","0","0","1","0","0"
"438","","","1","0","0962h","0","1","0","0","0","1","1","0","1","0","0","1","0","0"
"440","","","1","0","0948h","0","0","0","1","0","0","1","0","1","0","0","1","0","0"
"442","","","1","0","092Bh","1","1","0","1","0","1","0","0","1","0","0","1","0","0"
"444","","","1","0","090Eh","0","1","1","1","0","0","0","0","1","0","0","1","0","0"
"446","","","1","0","08EEh","0","1","1","1","0","1","1","1","0","0","0","1","0","0"
"448","","","1","0","08D1h","1","0","0","0","1","0","1","1","0","0","0","1","0","0"
