EPOCH_TIME                ALARM_STATUS              INST_STATUS               Delta_High_Conc_Raw_iCH4  C13_Delta_Raw             CH4                       ValveMask                 GPS_ABS_LAT               GPS_ABS_LONG              GPS_FIT                   
1321423467.346            0                         963                       -2.0614210282E+001        -4.2263557810E+001        2.8807775697E+000         5.0000000000E+000         3.7376876626E+001         -1.2197789891E+002        1.0000000000E+000         
1321423468.317            0                         963                       -2.1317820100E+001        -3.5073758208E+001        2.9077068475E+000         5.0000000000E+000         3.7376752045E+001         -1.2197790485E+002        1.0000000000E+000         
1321423469.253            0                         963                       -8.8158855024E+000        -3.4326535656E+001        2.9460822209E+000         5.0000000000E+000         3.7376648174E+001         -1.2197791874E+002        1.0000000000E+000         
1321423470.307            0                         963                       -1.8123766557E+001        -3.8226427050E+001        2.9936217131E+000         5.0000000000E+000         3.7376563794E+001         -1.2197794697E+002        1.0000000000E+000         
1321423471.238            0                         963                       -2.0370611516E+001        -3.8131257993E+001        3.0619346021E+000         5.0000000000E+000         3.7376504654E+001         -1.2197799480E+002        1.0000000000E+000         
1321423471.800            0                         963                       -1.9851069568E+001        -4.0818931814E+001        3.1371128586E+000         5.0000000000E+000         3.7376470191E+001         -1.2197806337E+002        1.0000000000E+000         
1321423472.400            0                         963                       -1.9851069568E+001        -4.0818931814E+001        3.1371128586E+000         5.0000000000E+000         3.7376459700E+001         -1.2197814670E+002        1.0000000000E+000         
1321423473.347            0                         963                       -2.7896092492E+001        -3.8910436515E+001        3.2595721181E+000         5.0000000000E+000         3.7376474515E+001         -1.2197824773E+002        1.0000000000E+000         
1321423474.289            0                         963                       -2.3949307608E+001        -3.6847268991E+001        3.3992684911E+000         5.0000000000E+000         3.7376512788E+001         -1.2197835487E+002        1.0000000000E+000         
1321423475.229            0                         963                       -1.6341831042E+001        -3.3529059100E+001        3.5871469316E+000         5.0000000000E+000         3.7376568605E+001         -1.2197846898E+002        1.0000000000E+000         
1321423476.310            0                         963                       -2.8635814913E+001        -3.3363510093E+001        3.8567825903E+000         5.0000000000E+000         3.7376633651E+001         -1.2197859142E+002        1.0000000000E+000         
1321423477.281            0                         963                       -2.1707044287E+001        -3.2904679131E+001        4.3304769701E+000         5.0000000000E+000         3.7376707536E+001         -1.2197872880E+002        1.0000000000E+000         
1321423477.830            0                         963                       -2.0759869893E+001        -3.3594783822E+001        4.9210834853E+000         5.0000000000E+000         3.7376786714E+001         -1.2197886933E+002        1.0000000000E+000         
1321423478.441            0                         963                       -2.0759869893E+001        -3.3594783822E+001        4.9210834853E+000         5.0000000000E+000         3.7376877747E+001         -1.2197901889E+002        1.0000000000E+000         
1321423479.382            0                         963                       -2.5942492521E+001        -3.5694519172E+001        5.6879677011E+000         5.0000000000E+000         3.7376977999E+001         -1.2197917487E+002        1.0000000000E+000         
1321423480.348            0                         963                       -2.5312988690E+001        -3.6622145047E+001        6.2270777493E+000         5.0000000000E+000         3.7377087273E+001         -1.2197934478E+002        1.0000000000E+000         
1321423481.313            0                         963                       -2.4400043537E+001        -3.4115092331E+001        6.6508493490E+000         5.0000000000E+000         3.7377195480E+001         -1.2197951787E+002        1.0000000000E+000         
1321423482.264            0                         963                       -3.0514199520E+001        -3.7462488359E+001        6.9447306695E+000         5.0000000000E+000         3.7377297956E+001         -1.2197969152E+002        1.0000000000E+000         
