EPOCH_TIME                ALARM_STATUS              GPS_ABS_LONG              GPS_ABS_LAT               CH4                       
1316253015.099            0                         -1.2244274888e+02         3.7783892241e+01          1.8888812282e+00          
1316253016.215            0                         -1.2244274499e+02         3.7783893081e+01          1.8889843939e+00          
1316253017.326            0                         -1.2244274470e+02         3.7783893174e+01          1.8910278326e+00          
1316253018.410            0                         -1.2244274473e+02         3.7783893181e+01          1.8913872821e+00          
1316253019.511            0                         -1.2244274476e+02         3.7783893235e+01          1.8877139226e+00          
1316253020.606            0                         -1.2244274478e+02         3.7783893311e+01          1.8875544142e+00          
1316253021.717            0                         -1.2244274480e+02         3.7783893320e+01          1.8872453634e+00          
1316253022.860            0                         -1.2244274481e+02         3.7783893289e+01          1.8881235454e+00          
1316253023.934            0                         -1.2244274489e+02         3.7783893286e+01          1.8897978784e+00          
1316253025.008            0                         -1.2244274491e+02         3.7783893270e+01          1.8894540456e+00          
1316253026.122            0                         -1.2244274492e+02         3.7783893276e+01          1.8901157623e+00          
1316253027.267            0                         -1.2244274488e+02         3.7783893231e+01          1.8891652713e+00          
1316253028.397            0                         -1.2244274486e+02         3.7783893155e+01          1.8894568711e+00          
1316253029.482            0                         -1.2244274483e+02         3.7783893060e+01          1.8856822664e+00          
1316253030.556            0                         -1.2244274485e+02         3.7783893078e+01          1.8820504711e+00          
1316253031.675            0                         -1.2244274485e+02         3.7783893095e+01          1.8832558391e+00          
1316253032.800            0                         -1.2244274482e+02         3.7783893108e+01          1.8828747171e+00          
1316253033.954            0                         -1.2244274489e+02         3.7783893125e+01          1.8829742259e+00          
1316253035.091            0                         -1.2244274489e+02         3.7783893139e+01          1.8837059895e+00          
1316253036.228            0                         -1.2244274378e+02         3.7783893413e+01          1.8868894916e+00          
1316253037.406            0                         -1.2244273792e+02         3.7783895438e+01          1.8895780873e+00          
1316253038.562            0                         -1.2244273318e+02         3.7783897354e+01          1.8895553485e+00          
1316253039.734            0                         -1.2244272603e+02         3.7783900697e+01          1.8892602399e+00          
1316253040.877            0                         -1.2244271345e+02         3.7783906963e+01          1.8914371886e+00          
1316253041.989            0                         -1.2244269441e+02         3.7783915542e+01          1.8885215341e+00          
1316253043.138            0                         -1.2244266783e+02         3.7783925417e+01          1.8913558897e+00          
1316253044.258            0                         -1.2244263496e+02         3.7783934435e+01          1.8913214703e+00          
1316253045.405            0                         -1.2244259381e+02         3.7783942308e+01          1.8917238056e+00          
1316253046.496            0                         -1.2244254813e+02         3.7783949047e+01          1.8920133922e+00          
1316253047.598            0                         -1.2244249618e+02         3.7783956337e+01          1.8897320752e+00          
1316253048.687            0                         -1.2244244080e+02         3.7783963808e+01          1.8884997192e+00          
1316253049.800            0                         -1.2244238201e+02         3.7783971735e+01          1.8914543551e+00          
1316253050.910            0                         -1.2244232156e+02         3.7783979762e+01          1.8951026519e+00          
1316253052.072            0                         -1.2244225702e+02         3.7783988861e+01          1.9076697969e+00          
1316253053.229            0                         -1.2244219092e+02         3.7783996998e+01          1.9187580542e+00          
1316253054.325            0                         -1.2244212703e+02         3.7784004742e+01          1.9157474870e+00          
1316253055.464            0                         -1.2244205917e+02         3.7784013318e+01          1.9077414623e+00          
1316253056.596            0                         -1.2244199055e+02         3.7784022314e+01          1.9061090878e+00          
1316253057.724            0                         -1.2244192084e+02         3.7784031161e+01          1.9146978168e+00          
1316253058.835            0                         -1.2244185111e+02         3.7784039902e+01          1.9135088201e+00          
1316253059.967            0                         -1.2244177989e+02         3.7784049237e+01          1.9067914166e+00          
1316253061.059            0                         -1.2244171170e+02         3.7784058524e+01          1.9037851329e+00          
1316253062.193            0                         -1.2244164199e+02         3.7784068250e+01          1.9010334184e+00          
1316253063.335            0                         -1.2244157152e+02         3.7784077876e+01          1.8992343726e+00          
