y_parameter,  pressure,   date_time,     slope, intercept,                         comment
          ,          ,            ,          ,          ,         scale(orig)=6.93792e-05
          ,          ,            ,          ,          ,         offset(orig)=   7.01238
          ,          ,            ,          ,          ,                  P(atm)=767.315
          ,          ,            ,          ,          ,             P(cav_open)=777.905
    0.7343,  152.5189,1492713644.3,  204.6507,    2.1745,                                
    0.7350,  152.2817,1492713645.7,  204.7705,    2.0677,                                
    0.7281,  152.0397,1492713647.1,  204.6481,    2.1824,                                
    0.7285,  151.8029,1492713648.5,  204.6028,    2.2227,                                
    0.7295,  151.5595,1492713649.9,  204.6478,    2.1826,                                
    0.7309,  151.3252,1492713651.2,  204.8121,    2.0363,                                
    0.7256,  151.0772,1492713652.6,  204.8121,    2.0363,                                
    0.7209,  150.8372,1492713654.0,  204.8595,    1.9987,                                
    0.7250,  150.5977,1492713655.4,  204.8337,    2.0215,                                
    0.7221,  150.3699,1492713656.8,  204.8337,    2.0215,                                
    0.7217,  150.1235,1492713658.2,  204.8337,    2.0215,                                
    0.7218,  149.8802,1492713659.6,  204.8455,    2.0110,                                
    0.7189,  149.6391,1492713661.0,  204.8728,    1.9906,                                
    0.7095,  149.4046,1492713662.4,  204.6419,    2.1940,                                
    0.7145,  149.1677,1492713663.8,  204.6509,    2.1861,                                
    0.7143,  148.9392,1492713665.1,  204.6219,    2.2116,                                
    0.7152,  148.7093,1492713666.5,  204.5777,    2.2506,                                
    0.7183,  148.4476,1492713667.9,  204.5002,    2.3190,                                
    0.7113,  148.1942,1492713669.4,  204.5260,    2.2963,                                
    0.7112,  147.9492,1492713670.8,  204.6840,    2.1566,                                
    0.7163,  147.7020,1492713672.3,  204.6840,    2.1566,                                
    0.7085,  147.4601,1492713673.7,  204.8504,    2.0097,                                
    0.7115,  147.2023,1492713675.2,  204.8504,    2.0097,                                
    0.7068,  146.9545,1492713676.6,  204.7038,    2.1388,                                
    0.7031,  146.7225,1492713677.9,  204.4667,    2.3472,                                
    0.7048,  146.4857,1492713679.3,  204.4214,    2.3871,                                
    0.7039,  146.2491,1492713680.7,  204.4214,    2.3871,                                
    0.7009,  146.0089,1492713682.1,  204.0788,    2.6708,                                
    0.7013,  145.7622,1492713683.5,  204.1345,    2.6219,                                
    0.6978,  145.5203,1492713684.9,  204.1345,    2.6219,                                
    0.6978,  145.2693,1492713686.4,  204.1345,    2.6219,                                
    0.6958,  145.0323,1492713687.7,  203.9462,    2.7868,                                
    0.6961,  144.7960,1492713689.1,  204.0192,    2.7228,                                
    0.6917,  144.5396,1492713690.6,  204.0192,    2.7228,                                
    0.6911,  144.2999,1492713692.0,  203.9729,    2.7634,                                
    0.6989,  144.0714,1492713693.4,  203.9729,    2.7634,                                
    0.6902,  143.8412,1492713694.7,  203.9832,    2.7547,                                
    0.6950,  143.6133,1492713696.1,  203.9832,    2.7547,                                
    0.6852,  143.3654,1492713697.6,  203.7679,    2.9420,                                
    0.6854,  143.1312,1492713698.9,  203.7874,    2.9250,                                
    0.6844,  142.8903,1492713700.3,  203.7572,    2.9513,                                
    0.6908,  142.6532,1492713701.6,  203.7572,    2.9513,                                
    0.6761,  142.3995,1492713703.1,  203.6769,    3.0219,                                
    0.6868,  142.1410,1492713704.6,  203.6173,    3.0736,                                
    0.6782,  141.9042,1492713705.9,  203.6173,    3.0736,                                
    0.6832,  141.6629,1492713707.3,  203.6165,    3.0743,                                
    0.6795,  141.4193,1492713708.7,  203.5262,    3.1367,                                
    0.6796,  141.1905,1492713710.0,  203.4863,    3.1713,                                
    0.6770,  140.9603,1492713711.4,  203.4779,    3.1786,                                
    0.6809,  140.7144,1492713712.8,  203.6318,    3.0449,                                
    0.6740,  140.4570,1492713714.4,  203.3738,    3.2683,                                
    0.6740,  140.2116,1492713715.8,  203.4679,    3.1867,                                
    0.6698,  139.9750,1492713717.2,  203.4679,    3.1867,                                
    0.6774,  139.7439,1492713718.6,  203.4728,    3.1825,                                
    0.6663,  139.5077,1492713719.9,  203.4127,    3.2346,                                
    0.6676,  139.2602,1492713721.3,  203.4269,    3.2223,                                
    0.6662,  139.0281,1492713722.6,  203.4474,    3.2046,                                
    0.6667,  138.7997,1492713723.9,  203.4214,    3.2270,                                
    0.6681,  138.5719,1492713725.3,  203.4351,    3.2152,                                
    0.6643,  138.3367,1492713726.7,  203.4499,    3.2036,                                
    0.6646,  138.0914,1492713728.1,  203.4499,    3.2036,                                
    0.6652,  137.8522,1492713729.4,  203.4499,    3.2036,                                
    0.6644,  137.6026,1492713730.9,  203.4499,    3.2036,                                
    0.6624,  137.3749,1492713732.2,  203.3968,    3.2493,                                
    0.6614,  137.1325,1492713733.5,  203.3968,    3.2493,                                
    0.6575,  136.8805,1492713735.0,  203.4074,    3.2431,                                
    0.6549,  136.6385,1492713736.4,  203.4284,    3.2246,                                
    0.6544,  136.3879,1492713737.8,  203.4043,    3.2454,                                
    0.6581,  136.1434,1492713739.2,  203.5131,    3.1519,                                
    0.6602,  135.9098,1492713740.6,  203.5131,    3.1519,                                
    0.6549,  135.6709,1492713741.9,  203.5131,    3.1519,                                
    0.6507,  135.4413,1492713743.3,  203.5052,    3.1581,                                
    0.6477,  135.2067,1492713744.6,  203.3145,    3.3210,                                
    0.6483,  134.9694,1492713746.0,  203.4313,    3.2210,                                
    0.6513,  134.7234,1492713747.4,  203.4313,    3.2210,                                
    0.6487,  134.4559,1492713749.0,  203.5161,    3.1484,                                
    0.6420,  134.2194,1492713750.4,  203.5611,    3.1138,                                
    0.6474,  133.9911,1492713751.7,  203.6184,    3.0649,                                
    0.6426,  133.7531,1492713753.1,  203.6195,    3.0640,                                
    0.6407,  133.5341,1492713754.4,  203.5671,    3.1087,                                
    0.6416,  133.2996,1492713755.8,  203.5671,    3.1087,                                
    0.6412,  133.0686,1492713757.1,  203.5671,    3.1087,                                
    0.6349,  132.8171,1492713758.6,  203.4614,    3.1956,                                
    0.6407,  132.5763,1492713760.0,  203.4481,    3.2069,                                
    0.6350,  132.3408,1492713761.4,  203.4598,    3.1969,                                
    0.6369,  132.1024,1492713762.8,  203.4598,    3.1969,                                
    0.6409,  131.8624,1492713764.2,  203.5842,    3.0911,                                
    0.6310,  131.6432,1492713765.5,  203.5104,    3.1520,                                
    0.6304,  131.4122,1492713766.9,  203.5104,    3.1520,                                
    0.6299,  131.1821,1492713768.3,  203.5104,    3.1520,                                
    0.6269,  130.9479,1492713769.7,  203.3827,    3.2600,                                
    0.6269,  130.7150,1492713771.2,  203.3874,    3.2560,                                
    0.6246,  130.4898,1492713772.6,  203.4415,    3.2102,                                
    0.6262,  130.2632,1492713774.0,  203.4439,    3.2082,                                
    0.6212,  130.0385,1492713775.4,  203.5398,    3.1332,                                
    0.6240,  129.8392,1492713776.7,  203.5398,    3.1332,                                
    0.6292,  129.6373,1492713778.0,  203.6027,    3.0801,                                
    0.6220,  129.4267,1492713779.4,  203.6718,    3.0218,                                
    0.6190,  129.2022,1492713780.8,  203.7226,    2.9789,                                
    0.6229,  128.9667,1492713782.2,  203.7750,    2.9347,                                
    0.6199,  128.7533,1492713783.6,  203.7750,    2.9347,                                
    0.6196,  128.5356,1492713784.9,  203.7750,    2.9347,                                
    0.6157,  128.3036,1492713786.3,  203.7783,    2.9319,                                
    0.6134,  128.0715,1492713787.7,  203.7608,    2.9479,                                
    0.6109,  127.8339,1492713789.1,  203.8385,    2.8826,                                
    0.6121,  127.6084,1492713790.5,  203.9688,    2.7728,                                
    0.6140,  127.3907,1492713791.8,  204.0277,    2.7233,                                
    0.6141,  127.1718,1492713793.1,  204.0277,    2.7233,                                
    0.6045,  126.9489,1492713794.4,  203.9504,    2.7804,                                
    0.6073,  126.7158,1492713795.8,  203.9219,    2.8042,                                
    0.6079,  126.4936,1492713797.2,  203.9260,    2.8008,                                
    0.6048,  126.2603,1492713798.6,  203.9190,    2.7986,                                
    0.6028,  126.0273,1492713799.9,  203.9728,    2.7536,                                
    0.6040,  125.7914,1492713801.3,  203.9728,    2.7536,                                
    0.5994,  125.5634,1492713802.7,  203.9274,    2.7915,                                
    0.5994,  125.3197,1492713804.2,  203.9959,    2.7343,                                
    0.6066,  125.0634,1492713805.7,  204.0017,    2.7294,                                
    0.5971,  124.8290,1492713807.1,  203.9937,    2.7361,                                
    0.5941,  124.5845,1492713808.6,  204.0077,    2.7232,                                
    0.5994,  124.3569,1492713809.9,  204.0467,    2.6907,                                
    0.5940,  124.1274,1492713811.3,  204.0467,    2.6907,                                
    0.5922,  123.9069,1492713812.7,  204.0658,    2.6747,                                
    0.5910,  123.6783,1492713814.0,  204.0586,    2.6807,                                
    0.5924,  123.4577,1492713815.3,  204.0586,    2.6807,                                
    0.5879,  123.2270,1492713816.7,  204.0944,    2.6502,                                
    0.5900,  122.9974,1492713818.1,  204.2172,    2.5479,                                
    0.5902,  122.7722,1492713819.5,  204.1988,    2.5632,                                
    0.5839,  122.5456,1492713820.8,  204.2040,    2.5604,                                
    0.5850,  122.3056,1492713822.3,  204.2049,    2.5596,                                
    0.5886,  122.0741,1492713823.7,  204.1751,    2.5842,                                
    0.5834,  121.8510,1492713825.0,  204.1642,    2.5932,                                
    0.5866,  121.6198,1492713826.4,  204.1642,    2.5932,                                
    0.5818,  121.3662,1492713827.9,  204.1776,    2.5822,                                
    0.5720,  121.1371,1492713829.3,  204.1776,    2.5899,                                
    0.5803,  120.9192,1492713830.6,  204.1892,    2.5804,                                
    0.5776,  120.6943,1492713832.0,  204.2926,    2.4950,                                
    0.5789,  120.4579,1492713833.4,  204.3033,    2.4862,                                
    0.5745,  120.2396,1492713834.7,  204.3033,    2.4862,                                
    0.5769,  120.0089,1492713836.1,  204.2850,    2.5012,                                
    0.5752,  119.7902,1492713837.5,  204.3416,    2.4546,                                
    0.5707,  119.5698,1492713838.8,  204.3688,    2.4322,                                
