EPOCH_TIME                ALARM_STATUS              CH4                       GPS_TIME                  GPS_ABS_LAT               GPS_REL_LAT               GPS_ABS_LONG              GPS_REL_LONG              GPS_FIT                   
1316238628.270            0                         1.8659476458E+000         2.1028000000E+004         3.7644727050E+001         6.4472705025E-001         -1.2240612580E+002        -4.0612580126E-001        2.0000000000E+000         
1316238629.393            0                         1.9162275299E+000         2.1029000000E+004         3.7645009005E+001         6.4500900550E-001         -1.2240615198E+002        -4.0615198044E-001        2.0000000000E+000         
1316238630.523            0                         1.9370229219E+000         2.1030000000E+004         3.7645293336E+001         6.4529333605E-001         -1.2240617653E+002        -4.0617652618E-001        2.0000000000E+000         
1316238631.669            0                         2.1386676581E+000         2.1031000000E+004         3.7645581138E+001         6.4558113826E-001         -1.2240620068E+002        -4.0620068276E-001        2.0000000000E+000         
1316238632.781            0                         2.2132774565E+000         2.1032000000E+004         3.7645858623E+001         6.4585862262E-001         -1.2240622421E+002        -4.0622420823E-001        2.0000000000E+000         
1316238633.887            0                         2.0138848366E+000         2.1033000000E+004         3.7646133443E+001         6.4613344324E-001         -1.2240624857E+002        -4.0624856770E-001        2.0000000000E+000         
1316238635.017            0                         1.9124088871E+000         2.1034000000E+004         3.7646413586E+001         6.4641358560E-001         -1.2240627459E+002        -4.0627459143E-001        2.0000000000E+000         
1316238636.135            0                         1.8641909272E+000         2.1036000000E+004         3.7646690255E+001         6.4669025543E-001         -1.2240629965E+002        -4.0629965282E-001        2.0000000000E+000         
1316238637.234            0                         1.8381055347E+000         2.1037000000E+004         3.7646961680E+001         6.4696168011E-001         -1.2240632289E+002        -4.0632289020E-001        2.0000000000E+000         
1316238638.342            0                         1.8280078921E+000         2.1038000000E+004         3.7647234538E+001         6.4723453792E-001         -1.2240634578E+002        -4.0634577745E-001        2.0000000000E+000         
1316238639.395            0                         1.8204725365E+000         2.1039000000E+004         3.7647493240E+001         6.4749323987E-001         -1.2240636722E+002        -4.0636722097E-001        2.0000000000E+000         
1316238640.456            0                         1.8187331103E+000         2.1040000000E+004         3.7647753383E+001         6.4775338292E-001         -1.2240638767E+002        -4.0638766552E-001        2.0000000000E+000         
1316238641.556            0                         1.8143769891E+000         2.1041000000E+004         3.7648022671E+001         6.4802267143E-001         -1.2240640861E+002        -4.0640860653E-001        2.0000000000E+000         
1316238642.623            0                         1.8133097364E+000         2.1042000000E+004         3.7648283338E+001         6.4828333829E-001         -1.2240643100E+002        -4.0643099663E-001        2.0000000000E+000         
1316238643.682            0                         1.8138271976E+000         2.1043000000E+004         3.7648540335E+001         6.4854033492E-001         -1.2240645523E+002        -4.0645523109E-001        2.0000000000E+000         
1316238644.733            0                         1.8146185974E+000         2.1044000000E+004         3.7648792841E+001         6.4879284071E-001         -1.2240647884E+002        -4.0647883701E-001        2.0000000000E+000         
1316238645.793            0                         1.8179071344E+000         2.1045000000E+004         3.7649044659E+001         6.4904465893E-001         -1.2240650189E+002        -4.0650189357E-001        2.0000000000E+000         
1316238646.890            0                         1.8167241262E+000         2.1046000000E+004         3.7649303363E+001         6.4930336274E-001         -1.2240652636E+002        -4.0652636024E-001        2.0000000000E+000         
1316238648.002            0                         1.8175774668E+000         2.1047000000E+004         3.7649564782E+001         6.4956478219E-001         -1.2240655110E+002        -4.0655109851E-001        2.0000000000E+000         
1316238649.095            0                         1.8169724709E+000         2.1049000000E+004         3.7649821874E+001         6.4982187431E-001         -1.2240657483E+002        -4.0657482988E-001        2.0000000000E+000         
1316238650.203            0                         1.8153397430E+000         2.1050000000E+004         3.7650082174E+001         6.5008217437E-001         -1.2240659869E+002        -4.0659869346E-001        2.0000000000E+000         
1316238651.286            0                         1.8139983837E+000         2.1051000000E+004         3.7650335943E+001         6.5033594252E-001         -1.2240662078E+002        -4.0662078315E-001        2.0000000000E+000         
1316238652.341            0                         1.8113086421E+000         2.1052000000E+004         3.7650582351E+001         6.5058235066E-001         -1.2240664182E+002        -4.0664182146E-001        2.0000000000E+000         
